Afganistán;Kabul;31936000
Albania;Tirana;2875000
Alemania;Berlín;83082000
Andorra;Andorra La Vieja;73000
Angola;Luanda;29703000
Antigua V Barbuda;Saint John's;104000
Arabia Saudita;Riad;34200000
Argelia;Argel;42993000
Argentina;Buenos Aires;44723000
Armenia;Ereván;2967000
Australia;Canberra;25150000
Austria;Viena;8875000
Azerbaiyán;Bakú;9984000
Bahamas;Nassau;383000
Bangladés;Daca;176198000
Barbados;Bridgetown;287000
Baréin;Manamá;1608000
Bélgica;Bruselas;11459000
Belice;Belmopán;403000
Benin;Porto-Novo;11545000
Bielorrusia;Minsk;9478000
Bolivia;La Paz;11390000
Bosnia Y Herzegovina;Sarajevo;3436000
Botsuana;Gaberones;2318000
Brasil;Brasilia;210461000
Brunei;Bandar Seri Begawan;429000
Bulgaria;Sofía;7004000
Burkina Faso;Uagadugú;20571000
Burundi;Buyumbura;10836000
Bután;Timbu;740000
Cabo Verde;Praia;548000
Camboya;Pnon Pehn;16206000
Camerún;Yaundé;24089000
Canadá;Ottawa;37346000
Catar;Doha;2767000
Chad;Yamena;15630000
Chile;Santiago De Chile;18880000
China;Pekín;1395261000
Chipre;Nicosia;872000
Vaticano;Ciudad Del Vaticano;800
Colombia;Bogotá;45878000
Comoras;Moroni;862000
Corea Del Norte;Pyongyang;25694000
Corea Del Sur;Seúl;51843000
Costa De Marfil;Yamusukro, Abiyán;25825000
Costa Rica;San José;5032000
Croacia;Zagreb;4080000
Cuba;La Habana;11212000
Dinamarca;Copenhague;5814000
Dominica;Roseau;74000
Ecuador;Quito;17170000
Egipto;El Cairo;99149000
El Salvador;San Salvador;6675000
Emiratos Arabes Unidos;Abu Dabi;9654000
Eritrea;Asmara;5273000
Eslovaquia;Bratislava;5449000
Eslovenia;Lublijana;2071000
España;Madrid;46791000
Estados Unidos;Washington D. C.;329071000
Estonia;Tallín;1323000
Etiopía;Adís Abeba;109392000
Filipinas;Manila;107041000
Finlandia;Helsinki;5523000
Fiyi;Suva;891000
Francia;París;65236000
Gabón;Libreville;2090000
Gambia;Banjul;2197000
Georgia;Tiflis;3733000
Ghana;Accra;29952000
Granada;Saint George's;108000
Grecia;Atenas;11314000
Guatemala;Ciudad De Guatemala;17545000
Guinea;Conakry;12025000
Guinea Ecuatorial;Malabo;1382000
Guinea-Bissau;Bissau;1599000
Guyana;Georgetown;783000
Haití;Puerto Príncipe;11220000
Honduras;Tegucigalpa;9087000
Hungría;Budapest;9759000
India;Nueva Delhi;1375898000
Indonesia;Yakarta;266614000
Irán;Teherán;38328000
Iraq;Bagdad;82231000
Irlanda;Dublín;4902000
Islandia;Reikiavik;357000
Islas Marshall;Majuro;56000
Islas Salomón;Honiara;681000
Israel;Jerusalén;8969000
Italia;Roma;60466000
Jamaica;Kingston;2729000
Japón;Tokio;126398000
Jordania;Ammán;10900000
Kazajistán;Astaná;18400000
Kenia;Nairobi;52051000
Kirguistán;Biskek;6379000
Kiribati;Tarawa;121000
Kuwait;Ciudad De Kuwait;4244000
Laos;Vientián;7018000
Lesoto;Maseru;2044000
Letonia;Riga;1920000
Líbano;Beirut;6236000
Liberia;Monrovia;4432000
Libia;Trípoli;6507000
Liechtenstein;Vaduz;38000
Lituania;Vilna;2792000
Luxemburgo;Luxemburgo;615000
República De Macedonia;Skopje;2077000
Madagascar;Antananarivo;26755000
Malasia;Kuala Lumpur;32659000
Malaui;Lilongüe;18217000
Maldivas;Malé;386000
Mali;Bamako;19395000
Malta;La Valeta;492000
Marruecos;Rabat;35165000
Mauricio;Port Louis;1268000
Mauritania;Nuakchot;4030000
México;México D. F.;125357000
Micronesia;Palikir;105000
Moldavia;Chisinau;3560000
Mónaco;Mónaco;39000
Mongolia;Ulan Bator;3271000
Montenegro;Podgorica;623000
Mozambique;Maputo;30368000
Myanmar (Birmania);Naypyidaw;54189000
Namibia;Windhoek;2437000
Nauru;Yaren;11000
Nepal;Katmandú;29419000
Nicaragua;Managua;6494000
Níger;Niamey;21890000
Nigeria;Abuya;209058000
Noruega;Oslo;5333000
Nueva Zelanda;Wellington;4915000
Omán;Mascate;4649000
Países Bajos;Amsterdam;17290000
Pakistán;Islamabad;216823000
Palaos;Melekeok;18000
Panamá;Ciudad De Panamá;4190000
Papúa Nueva Guinea;Port Moresby;8660000
Paraguay;Asunción;7104000
Perú;Lima;32362000
Polonia;Varsovia;38447000
Portugal;Lisboa;10252000
Puerto Rico;San Juan;3165000
Reino Unido;Londres;66636000
República Centroafricana;Bangui;4770000
República Checa;Praga;10640000
República Del Congo;Brazzaville;5493000
República Democrática Del Congo;Kinshasa;84833000
República Dominicana;Santo Domingo;10315000
República Saharaui;El Aaiún;574000
Ruanda;Kigali;12150000
Rumania;Bucarest;19413000
Rusia;Moscú;147043000
Samoa;Apia;200000
San Cristóbal Y Nieves;Basseterre;56000
San Marino;Ciudad De San Marino;33000
San Vicente Y Las Granadinas;Kingstown;110000
Santa Lucía;Castries;180000
Santo Tomé Y Príncipe;Santo Tomé;205000
Senegal;Dakar;15969000
Serbia;Belgrado;6971000
Seychelles;Victoria;97000
Sierra Leona;Freetown;7847000
Singapur;Singapur;5652000
Siria;Damasco;18298000
Somalia;Mogadiscio;15368000
Sri Lanka;Sri Jayawardenapura;21789000
Suazilandia;Mbabane;1106000
Sudáfrica;Pretoria, Ciudad Del Cabo, Bloemfontein;58198000
Sudán Del Norte;Jartum;42604000
Sudán Del Sur;Yuba;12570000
Suecia;Estocolmo;10236000
Suiza;Berna;8549000
Surinam;Paramaribo;571000
Tailandia;Bangkok;69398000
Taiwan;Taipeh;23597000
Tanzania;Dodoma;55082000
Tayikistán;Dusambé;9129000
Timor Oriental;Dili;1275000
Togo;Lomé;7453000
Tonga;Nuku-Alofa;100000
Trinidad y Tobago;Puerto España;1361000
Túnez;Túnez;11671000
Turkmenistán;Asjabad;5902000
Turquía;Ankara;81821000
Tuvalu;Funafuti;10000
Ucrania;Kiev;42169000
Uganda;Kampala;39416000
Uruguay;Montevideo;3512000
Uzbekistán;Tashkent;33217000
Vanuatu;Port Vila;309000
Venezuela;Caracas;32030000
Vietnam;Hanoi;94827000
Yemen;Saná;29332000
Yibuti;Yibuti;1064000
Zambia;Lusaka;17136000
Zimbabue;Harare;14964000
Palestina;Ramala;4918000
